day,date,market_phase,total_routes,successful_routes,failed_routes,gross_profit,gas_costs,net_profit,avg_roi,best_route_profit,worst_route_profit,routes_2hop,routes_3hop,routes_4hop,routes_crosschain,mev_frontrun,mev_backrun,cumulative_routes,cumulative_profit,cumulative_gas,cumulative_net_profit,current_capital,daily_return
1,2025-08-08,bull,31,17,14,6960031.18490141,491.91714942900205,6959539.267751981,276.1779753094064,1420448.60742111,-100796.50268140523,7,9,1,7,3,1,17,6960031.18490141,491.91714942900205,6959539.267751981,7059539.267751981,69.59539267751981
2,2025-08-09,bull,41,20,21,4026513.0826477194,343.54191993390174,4026169.5407277853,158.13479089401247,1020360.680287514,-83001.56271320631,10,8,2,7,1,5,37,10986544.26754913,835.4590693629038,10985708.808479765,11085708.808479765,0.5703161903382779
3,2025-08-10,bull,56,28,28,11687519.029534828,945.2224559951484,11686573.807078833,405.0215567546234,2979583.542397031,-179729.26220710133,11,11,6,7,5,3,65,22674063.29708396,1780.681525358052,22672282.6155586,22772282.6155586,1.054201766344381
4,2025-08-11,bull,21,8,13,1531884.1743306115,359.55960935384593,1531524.6147212577,154.34881069428792,822848.6669316186,-10918.90822402637,4,4,0,2,2,0,73,24205947.47141457,2140.241134711898,24203807.230279855,24303807.230279855,0.06725389108226162
5,2025-08-12,bull,52,29,23,13388736.765243573,654.9624331393396,13388081.802810434,356.0350738891256,3604849.0941616585,-170386.15183590763,11,11,7,6,6,3,102,37594684.23665814,2795.203567851238,37591889.03309029,37691889.03309029,0.5508635612502046
6,2025-08-13,bull,25,14,11,3252689.427860205,226.75292558371456,3252462.6749346214,177.8618765869374,1984630.6911271785,-100838.27394127012,5,4,5,4,2,4,116,40847373.66451835,3021.9564934349523,40844351.70802491,40944351.70802491,0.08629078452606168
7,2025-08-14,bull,29,16,13,4804482.642931231,525.2764749892164,4803957.366456242,207.45216527828856,1408552.9781096494,-146484.84344845457,6,7,3,7,1,2,132,45651856.30744958,3547.2329684241686,45648309.07448115,45748309.07448115,0.11732893954979114
8,2025-08-15,bull,21,5,16,573984.6897907208,198.2211793489024,573786.4686113719,72.68274360526985,373095.10863381415,-5872.170642349017,3,1,1,1,2,0,137,46225840.9972403,3745.454147773071,46222095.54309253,46322095.54309253,0.012542244297537012
9,2025-08-16,bull,31,11,20,946404.159647375,136.62065582523599,946267.5389915498,65.51866080017338,452550.1151669518,-147767.84807073095,7,3,1,1,1,2,148,47172245.15688767,3882.074803598307,47168363.082084075,47268363.082084075,0.020427995061476783
10,2025-08-17,bull,60,30,30,11390779.948468948,1217.3540013170868,11389562.59446763,273.8525554164629,4617033.97869215,-96156.44490818845,11,11,8,5,5,6,178,58563025.10535662,5099.428804915394,58557925.67655171,58657925.67655171,0.24095529973587276
11,2025-08-18,bull,28,16,12,4784606.226751718,582.5042215981324,4784023.72253012,202.65437986465287,1994891.0599144176,-73356.51686376384,7,7,2,7,1,1,194,63347631.33210833,5681.933026513526,63341949.399081826,63441949.399081826,0.0815580105731989
12,2025-08-19,bull,60,36,24,16198043.648250725,848.6076496425237,16197195.040601082,406.2081448167455,5446875.271729382,-125741.60944083947,12,11,13,15,9,3,230,79545674.98035906,6530.54067615605,79539144.4396829,79639144.4396829,0.25530733519414045
13,2025-08-20,bull,59,29,30,4973361.235704989,754.1253614173603,4972607.110343572,126.45253204380853,743633.8323070679,-173379.62245640007,15,10,4,11,3,6,259,84519036.21606405,7284.66603757341,84511751.55002648,84611751.55002648,0.062439233185255086
14,2025-08-21,bull,41,25,16,4169975.9179749275,480.2964273000851,4169495.6215476273,124.02803257771632,1252767.1119519593,-112713.04099214045,13,9,3,9,4,5,284,88689012.13403898,7764.962464873495,88681247.1715741,88781247.1715741,0.04927797315580241
15,2025-08-22,bull,25,14,11,3656864.2553088837,205.53366095405806,3656658.72164793,221.2060126384731,1740729.3341259893,-179041.28956541698,4,5,5,6,1,3,298,92345876.38934787,7970.496125827553,92337905.89322203,92437905.89322203,0.04118728715965499
16,2025-08-23,bull,43,30,13,7450218.971817708,572.5653086843274,7449646.406509023,271.83126221427045,2036390.870396071,-131821.62056874327,15,11,4,13,6,1,328,99796095.36116557,8543.061434511881,99787552.29973106,99887552.29973106,0.08059081752797762
17,2025-08-24,bull,21,16,5,7659075.158724756,178.677207529625,7658896.481517226,461.1775865306849,1704874.3639573304,-72429.4010208207,8,6,2,7,0,5,344,107455170.51989032,8721.738642041506,107446448.78124829,107546448.78124829,0.07667518429659075
18,2025-08-25,bull,45,25,20,9866791.764870763,532.6094104130589,9866259.15546035,317.56586004810663,5006157.714976438,-183320.80837444635,8,13,4,9,5,4,369,117321962.28476109,9254.348052454565,117312707.93670863,117412707.93670863,0.09173951596977903
19,2025-08-26,bull,35,17,18,8642218.623910282,432.29110797465495,8641786.332802307,364.85970383299946,2572969.456475193,-48527.249976145045,6,6,5,6,2,4,386,125964180.90867136,9686.63916042922,125954494.26951094,126054494.26951094,0.07360179732385241
20,2025-08-27,bull,47,26,21,2819785.2712163785,494.9004242836822,2819290.370792095,72.46279261689881,583023.8511721416,-148026.0859817872,7,12,7,11,3,4,412,128783966.17988774,10181.539584712902,128773784.64030303,128873784.64030303,0.02236564739028113
21,2025-08-28,bull,51,33,18,6771974.619460957,549.7299180704973,6771424.889542887,156.7901453698837,1868491.8665064382,-113569.51268714943,19,11,3,10,5,6,445,135555940.7993487,10731.2695027834,135545209.52984592,135645209.52984592,0.05254307467141181
22,2025-08-29,bull,39,23,16,5575927.130459004,371.74751045469156,5575555.382948549,195.3560877166278,1447399.1222311263,-95253.96375222653,10,10,3,5,5,4,468,141131867.92980772,11103.017013238092,141120764.91279447,141220764.91279447,0.041103960856957236
23,2025-08-30,bull,47,27,20,8621756.27492806,1086.6652445589118,8620669.6096835,232.74192522066474,2350807.596000118,-101622.87417952922,11,12,4,15,7,2,495,149753624.2047358,12189.682257797003,149741434.52247798,149841434.52247798,0.06104392378137074
